politician,polltype,subgroup,start_date,end_date,pollster_rating_name,sample_size,raw_sample_size,population,weight,approve,disapprove,approve_adjusted,disapprove_adjusted,tracking,url,poll_id,question_id,created_at,timestamp,pollster_rating_id,subpopulation
Joe Biden,potus-approve,All polls,2024-02-27,2024-03-04,Rasmussen Reports,1500,1500,lv,0.7264966110222968,41,57,39.47948848651595,54.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,86278,194099,2024-03-05,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-02-28,2024-03-01,TIPP Insights,1419,1419,a,0.9992960224400284,37,53,37.15881994458367,57.891344086304095,NA,https://tippinsights.com/bidens-sotu-address-this-thursday-comes-amidst-anxiety-and-gloom-in-the-nation/,86261,194038,2024-03-04,2024-03-05T14:51:09Z,144,NA
Joe Biden,potus-approve,All polls,2024-02-26,2024-02-29,RMG Research,1000,1000,rv,0.8388860278781478,41,56,40.0006805882531,55.236432940424066,NA,https://twitter.com/RMG_Research/status/1764728908803342461?s=20,86263,194051,2024-03-04,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-02-01,2024-02-29,ActiVote,738,738,rv,0.6530261558654323,35.6,56.5,36.45884659158032,56.14927185775689,NA,https://www.activote.net/activote_polling/,86254,193989,2024-03-03,2024-03-05T14:51:09Z,721,NA
Joe Biden,potus-approve,All polls,2024-02-25,2024-02-28,Beacon Research/Shaw & Co. Research,1262,1262,rv,0.9423942736056395,42,58,39.21070845461094,56.343447437266256,NA,https://www.foxnews.com/official-polls/fox-news-poll-trump-hedge-biden-potential-2024-rematch,86256,193991,2024-03-03,2024-03-05T14:51:09Z,103,NA
Joe Biden,potus-approve,All polls,2024-02-21,2024-02-28,"Fabrizio, Lee & Associates/GBAO",1745,1745,rv,1.1081554244586873,38,60,37.39888945449183,57.448647141749156,NA,https://www.wsj.com/politics/elections/voters-are-more-upbeat-on-economy-but-biden-gets-little-benefit-wsj-poll-shows-8e608db8,86255,193990,2024-03-03,2024-03-05T14:51:09Z,796,NA
Joe Biden,potus-approve,All polls,2024-02-25,2024-02-28,The New York Times/Siena College,823,823,rv,0.7610319302591925,36,61,37.28102775523467,59.446811360223194,NA,https://www.nytimes.com/2024/03/02/us/politics/biden-trump-times-siena-poll.html,86253,193949,2024-03-02,2024-03-05T14:51:09Z,448,NA
Joe Biden,potus-approve,All polls,2024-02-24,2024-02-28,Harris Insights & Analytics,3021,3021,rv,0.7315697147356748,39,56,36.3678712314845,56.08590347382953,NA,https://harrisx.com/wp-content/uploads/2024/03/HarrisX-Overnight-Poll-Permanent-Political-VP-Mental-Acuity-Bidenomics-2.29.2024.pdf,86244,193909,2024-03-01,2024-03-05T14:51:09Z,133,NA
Joe Biden,potus-approve,All polls,2024-02-25,2024-02-27,YouGov,1688,1688,a,0.6292577235638749,43,52,42.73489782111722,52.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_XFw0j7s.pdf,86215,193694,2024-02-28,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-02-22,2024-02-26,AP-NORC,1102,1102,a,0.8806305718527109,38,61,35.946238788005175,59.031305604976346,NA,https://apnorc.org/projects/many-are-concerned-about-bidens-mental-fitness-and-job-performance/,86260,194037,2024-03-04,2024-03-05T14:51:09Z,397,NA
